hostname,group,ip_address,os_distro,os_version,hw_arch,time,changed,unreachable,failed,details
centos8-1,esx_systems,10.5.37.154,CentOS,8.1,x86_64,2020-06-19 18:41:34,False,False,False,"changed: false
failed: false
hostname: centos8-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
debian10-1,esx_systems,10.5.37.189,Debian,10,x86_64,2020-06-19 18:41:30,False,False,False,"changed: false
failed: false
hostname: debian10-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
fedora31-1,esx_systems,10.5.37.125,Fedora,31,x86_64,2020-06-19 18:41:30,False,False,False,"changed: false
failed: false
hostname: fedora31-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
freebsd11-2,esx_systems,10.5.37.199,FreeBSD,11.3,amd64,2020-06-19 18:41:31,False,False,False,"changed: false
failed: false
hostname: freebsd11-2
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
oel8-1,esx_systems,10.5.37.85,OracleLinux,8.0,x86_64,2020-06-19 18:41:32,False,False,False,"changed: false
failed: false
hostname: oel8-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
opensuse15-1,esx_systems,10.5.37.212,openSUSE Leap,15.1,x86_64,2020-06-19 18:41:31,False,False,False,"changed: false
failed: false
hostname: opensuse15-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
rhel8-1,esx_systems,10.5.37.12,RedHat,8.1,x86_64,2020-06-19 20:41:32,False,False,False,"changed: false
failed: false
hostname: rhel8-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
sles15-1,esx_systems,10.5.37.191,SLES,15,x86_64,2020-06-19 18:41:32,False,False,False,"changed: false
failed: false
hostname: sles15-1
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
solaris11-1,esx_systems,10.5.37.87,Solaris,11.4,i386,2020-06-19 18:59:47,False,False,True,"changed: false
failed: true
hostname: solaris11-1
msg: |-
  client_preflight:
  Failure: stillings.net, Unable to Authenticate, Check username/password, possible timesync issue, prior failures/advisories
  Failure: stillings.net, No servers found, See previous failures or pass a valid DC on the command line
  Failure: host localhost unreachable on port 464 (TCP), QAS needs this port open, ensure it is not firewalled
  Failure: host localhost unreachable on port 389 (TCP), QAS needs this port open, ensure it is not firewalled
params: {}
steps: []
unreachable: false
version: ''
"
stmac14-1,mac_systems,10.5.37.217,MacOSX,10.14.6,x86_64,2020-06-19 18:34:52,False,False,True,"changed: false
failed: true
hostname: stmac14-1
msg: |-
  client_preflight:
  Failure: stillings.net, Unable to Authenticate, Check username/password, possible timesync issue, prior failures/advisories
  Failure: stillings.net, No servers found, See previous failures or pass a valid DC on the command line
  Failure: host localhost unreachable on port 464 (TCP), QAS needs this port open, ensure it is not firewalled
  Failure: host localhost unreachable on port 389 (TCP), QAS needs this port open, ensure it is not firewalled
params: {}
steps: []
unreachable: false
version: ''
"
ubuntu18-7,esx_systems,10.5.37.9,Ubuntu,18.04,x86_64,2020-06-20 00:41:33,False,False,False,"changed: false
failed: false
hostname: ubuntu18-7
msg: ''
params:
  account_container: null
  account_name: null
  domain: stillings.net
  extra_args: null
  facts: true
  facts_key: sas_client_join_vastool
  facts_verbose: true
  password: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
  servers: []
  state: joined
  username: VALUE_SPECIFIED_IN_NO_LOG_PARAMETER
steps: []
unreachable: false
version: 4.2.4.25529
"
