hostname,group,ip_address,os_distro,os_version,hw_arch,time,changed,unreachable,failed,details
centos8-1,esx_systems,10.5.37.154,CentOS,8.1,x86_64,2020-06-19 18:36:47,True,False,False,"changed: true
failed: false
hostname: centos8-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
debian10-1,esx_systems,10.5.37.189,Debian,10,x86_64,2020-06-19 18:36:40,True,False,False,"changed: true
failed: false
hostname: debian10-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt_4.2.4-25529_amd64.deb
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp_4.2.4-25529_amd64.deb
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
fedora31-1,esx_systems,10.5.37.125,Fedora,31,x86_64,2020-06-19 18:36:40,True,False,False,"changed: true
failed: false
hostname: fedora31-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
freebsd11-2,esx_systems,10.5.37.199,FreeBSD,11.3,amd64,2020-06-19 18:36:41,True,False,False,"changed: true
failed: false
hostname: freebsd11-2
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4.25529.txz
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4.25529.txz
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
oel8-1,esx_systems,10.5.37.85,OracleLinux,8.0,x86_64,2020-06-19 18:36:42,True,False,False,"changed: true
failed: false
hostname: oel8-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
opensuse15-1,esx_systems,10.5.37.212,openSUSE Leap,15.1,x86_64,2020-06-19 18:36:40,True,False,False,"changed: true
failed: false
hostname: opensuse15-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
rhel8-1,esx_systems,10.5.37.12,RedHat,8.1,x86_64,2020-06-19 20:36:46,True,False,False,"changed: true
failed: false
hostname: rhel8-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
sles15-1,esx_systems,10.5.37.191,SLES,15,x86_64,2020-06-19 18:36:41,True,False,False,"changed: true
failed: false
hostname: sles15-1
msg: ''
packages:
  vasclnt:
    installer_file: vasclnt-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
  vasgp:
    installer_file: vasgp-4.2.4-25529.x86_64.rpm
    installer_version: 4.2.4.25529
    state_change: upgraded
    state_request: present
    version_begin: 4.2.3.25456
    version_end: 4.2.4.25529
unreachable: false
"
solaris11-1,esx_systems,10.5.37.87,Solaris,11.4,i386,2020-06-19 18:59:47,False,False,True,"changed: false
failed: true
hostname: solaris11-1
msg: |-
  client_preflight:
  Failure: stillings.net, Unable to Authenticate, Check username/password, possible timesync issue, prior failures/advisories
  Failure: stillings.net, No servers found, See previous failures or pass a valid DC on the command line
  Failure: host localhost unreachable on port 464 (TCP), QAS needs this port open, ensure it is not firewalled
  Failure: host localhost unreachable on port 389 (TCP), QAS needs this port open, ensure it is not firewalled
packages: {}
unreachable: false
"
stmac14-1,mac_systems,10.5.37.217,MacOSX,10.14.6,x86_64,2020-06-19 18:34:52,False,False,True,"changed: false
failed: true
hostname: stmac14-1
msg: |-
  client_preflight:
  Failure: stillings.net, Unable to Authenticate, Check username/password, possible timesync issue, prior failures/advisories
  Failure: stillings.net, No servers found, See previous failures or pass a valid DC on the command line
  Failure: host localhost unreachable on port 464 (TCP), QAS needs this port open, ensure it is not firewalled
  Failure: host localhost unreachable on port 389 (TCP), QAS needs this port open, ensure it is not firewalled
packages: {}
unreachable: false
"
